resort,name,name_en,status,status_code,price_per_person_night,price_display,price_unit,group_total_est,meal_plan,lift_pass_est,lift_pass_4day,recommended_rental_shop,rental_daily_est,total_nights_available,phone,lift_proximity,room_recommendation,area,address,direct_link,notes
Hakuba Valley,ホテルグリーンプラザ白馬,Hotel Green Plaza Hakuba (Cortina),Not Opened / Fully Booked,AVAILABLE,19500,"¥19,500 ~ ¥27,000",/ person / night,"¥390,000 ~ ¥540,000 (5 guests • 4 nights)",Half-Board (Cortina alpine buffet dinner & breakfast),"1-Day: ¥9,200 | 4-Day: ¥33,000","¥33,000","Spicy Rentals Hakuba (8 Stores across Valley (Happo, Wadano, Goryu, Echoland))","Standard ¥5,500/d | Powder Demo ¥7,500/d",0,0570-097-489,5-10 mins shuttle to Happo / Goryu base,Japanese-Western Family Room or 2 Twin/Double Rooms (3+2),Happo-one Village / Echoland,長野県北安曇郡白馬村,https://reserve.489ban.net/group/client/hakuba-nagano/0/plan?customer=2114,Iconic red-roofed alpine castle directly at the base of Cortina's world-famous powder bowl.
Hakuba Valley,ホテルグリーンプラザ白馬 (Hotel Green Plaza Hakuba - Cortina),Hotel Green Plaza Hakuba (Cortina Powder Castle Ski-In / Ski-Out),Available / Large Family Rooms,AVAILABLE,19500,"¥19,500 ~ ¥27,000",/ person / night,"¥390,000 ~ ¥540,000 (5 guests • 4 nights)",Half-Board (Cortina alpine buffet dinner & breakfast),"1-Day: ¥9,200 | 4-Day: ¥33,000","¥33,000","Spicy Rentals Hakuba (8 Stores across Valley (Happo, Wadano, Goryu, Echoland))","Standard ¥5,500/d | Powder Demo ¥7,500/d",4,0570-097-489,Direct Ski-in / Ski-out (Hakuba Cortina No. 2 High Speed Lift),Maisonette Suite / 2-story Loft (Sleeps 5-6 adults),Hakuba Cortina Powder Base,長野県北安曇郡小谷村千国乙12860-1,https://www.hgp.co.jp/hakuba/,Iconic red-roofed alpine castle directly at the base of Cortina's world-famous powder bowl and tree runs.
Hakuba Valley,栂池高原 サンプラザホテル,Tsugaike Sun Plaza Hotel,Not Opened / Fully Booked,AVAILABLE,17500,"¥16,000 ~ ¥23,000",/ person / night,"¥320,000 ~ ¥460,000 (5 guests • 4 nights)",Breakfast included,"1-Day: ¥9,200 | 4-Day: ¥33,000","¥33,000","Spicy Rentals Hakuba (8 Stores across Valley (Happo, Wadano, Goryu, Echoland))","Standard ¥5,500/d | Powder Demo ¥7,500/d",0,0261-83-2244,5-10 mins shuttle to Happo / Goryu base,Japanese-Western Family Room or 2 Twin/Double Rooms (3+2),Happo-one Village / Echoland,長野県北安曇郡白馬村,https://reserve.489ban.net/group/client/hakuba-nagano/0/plan?customer=2115,1 min walk to Eve Gondola (Tsugaike Mountain Resort).
Hakuba Valley,栂池高原 サンプラザホテル (Tsugaike Sun Plaza Hotel),Tsugaike Sun Plaza Hotel (1 min to Gondola),Available / Prime Gondola Access,AVAILABLE,12500,"¥11,000 ~ ¥17,500",/ person / night,"¥220,000 ~ ¥350,000 (5 guests • 4 nights)",Breakfast included,"1-Day: ¥9,200 | 4-Day: ¥33,000","¥33,000","Spicy Rentals Hakuba (8 Stores across Valley (Happo, Wadano, Goryu, Echoland))","Standard ¥5,500/d | Powder Demo ¥7,500/d",4,0261-83-2244,1 min walk to Eve Gondola (Tsugaike Mountain Resort),Japanese Tatami 12-mat Room (Sleeps 5),Tsugaike Kogen Gondola Base,長野県北安曇郡小谷村栂池高原,https://www.sunplaza-hotel.co.jp/,"Perfect for beginner to advanced skiers, vast wide gentle slopes and high alpine backcountry gates."
Hakuba Valley,白馬ハイランドホテル,Hakuba Highland Hotel,Not Opened / Fully Booked,AVAILABLE,18500,"¥17,000 ~ ¥24,000",/ person / night,"¥340,000 ~ ¥480,000 (5 guests • 4 nights)",Breakfast & onsen included,"1-Day: ¥9,200 | 4-Day: ¥33,000","¥33,000","Spicy Rentals Hakuba (8 Stores across Valley (Happo, Wadano, Goryu, Echoland))","Standard ¥5,500/d | Powder Demo ¥7,500/d",0,0261-72-3450,5-10 mins shuttle to Happo / Goryu base,Japanese-Western Family Room or 2 Twin/Double Rooms (3+2),Happo-one Village / Echoland,長野県北安曇郡白馬村,https://reserve.489ban.net/group/client/hakuba-nagano/0/plan?customer=2113,Ranked #1 for outdoor hot spring views of the Northern Japanese Alps peaks.
Hakuba Valley,白馬ハイランドホテル (Hakuba Highland Hotel),Hakuba Highland Hotel (Alps Panorama Onsen),Available / Panoramic Hot Springs,AVAILABLE,12500,"¥11,000 ~ ¥17,500",/ person / night,"¥220,000 ~ ¥350,000 (5 guests • 4 nights)",Breakfast included,"1-Day: ¥9,200 | 4-Day: ¥33,000","¥33,000","Spicy Rentals Hakuba (8 Stores across Valley (Happo, Wadano, Goryu, Echoland))","Standard ¥5,500/d | Powder Demo ¥7,500/d",4,0261-72-3450,"Free morning shuttles to Happo, Goryu, 47, and Iwatake",Japanese-Western Family Room (5 guests),Hakuba Village East Hill,長野県北安曇郡白馬村北城21582,https://www.hakuba-highland.net/,Ranked #1 for outdoor hot spring views of the Northern Japanese Alps peaks.
Hakuba Valley,白馬樅の木ホテル,Hakuba Mominoki Hotel,Not Opened / Fully Booked,AVAILABLE,26000,"¥26,000 ~ ¥38,000",/ person / night,"¥520,000 ~ ¥760,000 (5 guests • 4 nights)",Breakfast buffet & Fireside Pub Lounge,"1-Day: ¥9,200 | 4-Day: ¥33,000","¥33,000","Spicy Rentals Hakuba (8 Stores across Valley (Happo, Wadano, Goryu, Echoland))","Standard ¥5,500/d | Powder Demo ¥7,500/d",0,0261-72-5001,5-10 mins shuttle to Happo / Goryu base,Japanese-Western Family Room or 2 Twin/Double Rooms (3+2),Happo-one Village / Echoland,長野県北安曇郡白馬村,https://reserve.489ban.net/group/client/hakuba-nagano/0/plan?customer=2112,"Renowned resort in Wadano Woods with fireside lounge, outdoor onsen, on-site ski hire."
Hakuba Valley,白馬樅の木ホテル (Hakuba Mominoki Hotel),Hakuba Mominoki Hotel (Luxury Wadano Ski Chalet),Available / Group Suites,AVAILABLE,26000,"¥26,000 ~ ¥38,000",/ person / night,"¥520,000 ~ ¥760,000 (5 guests • 4 nights)",Breakfast buffet & Fireside Pub Lounge,"1-Day: ¥9,200 | 4-Day: ¥33,000","¥33,000","Spicy Rentals Hakuba (8 Stores across Valley (Happo, Wadano, Goryu, Echoland))","Standard ¥5,500/d | Powder Demo ¥7,500/d",4,0261-72-5001,3 mins walk to Happo-one Kokusai Lift (Ski-in / Ski-out access),Executive 2-Bedroom Chalet Suite (Sleeps 5),Wadano Woods (Happo-one Base),長野県北安曇郡白馬村北城4688,https://www.mominokihotel.com/,"Renowned resort with fireside lounge, outdoor onsen, on-site ski hire, and private pub."
Karuizawa (60m from Tokyo),軽井沢プリンスホテル イースト/ウエスト (Karuizawa Prince Hotel),Karuizawa Prince Hotel (Fastest Ski Trip from Tokyo),Available / Instant Shinkansen Access,AVAILABLE,17500,"¥17,500 ~ ¥25,000",/ person / night,"¥350,000 ~ ¥500,000 (5 guests • 4 nights)",Buffet breakfast & ski storage privileges,"1-Day: ¥6,500 | 4-Day: ¥24,000","¥24,000",Karuizawa Prince Ski Center Rental (Karuizawa Prince Ski Center (East & West)),"Standard ¥5,000/d | Powder Demo ¥6,500/d",4,0267-42-1111,Ski-in / Ski-out (Direct to Karuizawa Prince Ski Slopes),Prince Forest 4-Bed/5-Bed Private Cottage Chalet,Karuizawa Shinkansen Base,長野県北佐久郡軽井沢町軽井沢,https://www.princehotels.co.jp/karuizawa-east/,Direct 60-minute bullet train from Tokyo Station. Private stand-alone forest cottages ideal for 5 friends.
Kusatsu & Manza,万座プリンスホテル (Manza Prince Hotel),Manza Prince Hotel (Japan's Highest Altitude Onsen & Powder),Available / Micro-Climate Snow Guarantee,AVAILABLE,17500,"¥17,500 ~ ¥25,000",/ person / night,"¥350,000 ~ ¥500,000 (5 guests • 4 nights)",Buffet breakfast & ski storage privileges,"1-Day: ¥5,500 | 4-Day: ¥20,000","¥20,000",Tenguyama Base Rental Center (Kusatsu Tenguyama Main Rest House),"Standard ¥4,500/d | Powder Demo ¥6,200/d",4,0279-97-1111,Ski-in / Ski-out (Direct to Manza Onsen Ski Slopes),East Building Twin/Triple (2 rooms) or Japanese Family Washitsu,"Manza Onsen (1,800m Altitude)",群馬県吾妻郡嬬恋村万座温泉,https://www.princehotels.co.jp/manza/,"Highest elevation hot spring ski resort in Japan (1,800m), guaranteeing natural dry powder snow and milky sulfur outdoor baths."
