resort,name,cid,booking_engine,status,available_dates_found,phone,address,direct_link,notes
Nozawa Onsen,お宿　三河屋,1702,489ban Group (Nozawa Tourism Bureau),Not Opened / Fully Booked,0,0269-85-2398,長野県下高井郡野沢温泉村大字豊郷8765,https://reserve.489ban.net/group/client/nozawakanko/0/plan,Traditional onsen ryokan/pension; New Year reservations may open on staggered schedule (check direct/phone)
Nozawa Onsen,常盤屋旅館,3371,489ban Group (Nozawa Tourism Bureau),Not Opened / Fully Booked,0,0269-85-3128,長野県下高井郡野沢温泉村大字豊郷9347,https://reserve.489ban.net/group/client/nozawakanko/0/plan,Traditional onsen ryokan/pension; New Year reservations may open on staggered schedule (check direct/phone)
Nozawa Onsen,【河一屋旅館】天下の名湯・真湯を独り占めできる宿,3221,489ban Group (Nozawa Tourism Bureau),Not Opened / Fully Booked,0,0269-85-4126,長野県下高井郡野沢温泉村豊郷8923-1,https://reserve.489ban.net/group/client/nozawakanko/0/plan,Traditional onsen ryokan/pension; New Year reservations may open on staggered schedule (check direct/phone)
Nozawa Onsen,旅館　さかや,1295,489ban Group (Nozawa Tourism Bureau),Not Opened / Fully Booked,0,0269-85-3119,長野県下高井郡野沢温泉村,https://reserve.489ban.net/group/client/nozawakanko/0/plan,Traditional onsen ryokan/pension; New Year reservations may open on staggered schedule (check direct/phone)
Nozawa Onsen,野沢温泉ホテル,3872,489ban Group (Nozawa Tourism Bureau),Not Opened / Fully Booked,0,0269-85-2011,長野県下高井郡野沢温泉村大字豊郷7923-3,https://reserve.489ban.net/group/client/nozawakanko/0/plan,Traditional onsen ryokan/pension; New Year reservations may open on staggered schedule (check direct/phone)
Nozawa Onsen,ホテル,1700,489ban Group (Nozawa Tourism Bureau),Not Opened / Fully Booked,0,0269-85-3597,長野県下高井郡野沢温泉村大字豊郷9515,https://reserve.489ban.net/group/client/nozawakanko/0/plan,Traditional onsen ryokan/pension; New Year reservations may open on staggered schedule (check direct/phone)
Nozawa Onsen,Gasthof,1703,489ban Group (Nozawa Tourism Bureau),Not Opened / Fully Booked,0,0269-85-4624,長野県下高井郡野沢温泉村大字豊郷9258-8,https://reserve.489ban.net/group/client/nozawakanko/0/plan,Traditional onsen ryokan/pension; New Year reservations may open on staggered schedule (check direct/phone)
Nozawa Onsen,ロッヂまつや,1707,489ban Group (Nozawa Tourism Bureau),Not Opened / Fully Booked,0,0269-85-2082,長野県下高井郡野沢温泉村大字豊郷9553,https://reserve.489ban.net/group/client/nozawakanko/0/plan,Traditional onsen ryokan/pension; New Year reservations may open on staggered schedule (check direct/phone)
Nozawa Onsen,旅の宿,3633,489ban Group (Nozawa Tourism Bureau),Not Opened / Fully Booked,0,0269-85-2148,長野県下高井郡野沢温泉村大字豊郷9525-イ,https://reserve.489ban.net/group/client/nozawakanko/0/plan,Traditional onsen ryokan/pension; New Year reservations may open on staggered schedule (check direct/phone)
Nozawa Onsen,野沢温泉,3414,489ban Group (Nozawa Tourism Bureau),Not Opened / Fully Booked,0,0269-85-2280,長野県下高井郡野沢温泉村大字豊郷8800,https://reserve.489ban.net/group/client/nozawakanko/0/plan,Traditional onsen ryokan/pension; New Year reservations may open on staggered schedule (check direct/phone)
Nozawa Onsen,野沢温泉,3272,489ban Group (Nozawa Tourism Bureau),Not Opened / Fully Booked,0,0269-85-2009,長野県下高井郡野沢温泉村豊郷9327,https://reserve.489ban.net/group/client/nozawakanko/0/plan,Traditional onsen ryokan/pension; New Year reservations may open on staggered schedule (check direct/phone)
Nozawa Onsen,湯宿とうふや,1879,489ban Group (Nozawa Tourism Bureau),Not Opened / Fully Booked,0,0269-85-4102,長野県下高井郡野沢温泉村大字豊郷7914-2,https://reserve.489ban.net/group/client/nozawakanko/0/plan,Traditional onsen ryokan/pension; New Year reservations may open on staggered schedule (check direct/phone)
Nozawa Onsen,野沢温泉,3271,489ban Group (Nozawa Tourism Bureau),Not Opened / Fully Booked,0,0269-85-2557,長野県下高井郡野沢温泉村豊郷9611,https://reserve.489ban.net/group/client/nozawakanko/0/plan,Traditional onsen ryokan/pension; New Year reservations may open on staggered schedule (check direct/phone)
Nozawa Onsen,桐屋旅館,1706,489ban Group (Nozawa Tourism Bureau),Not Opened / Fully Booked,0,0269-85-2020,長野県下高井郡野沢温泉村大字豊郷8714-2,https://reserve.489ban.net/group/client/nozawakanko/0/plan,Traditional onsen ryokan/pension; New Year reservations may open on staggered schedule (check direct/phone)
Nozawa Onsen,野沢温泉,3274,489ban Group (Nozawa Tourism Bureau),Available (9 dates in range),9,0269-85-2223,長野県下高井郡野沢温泉村9546,https://reserve.489ban.net/nozawakanko/yutopia/0/plan/search?date=2027%2F01%2F01&roomCount=1,Traditional onsen ryokan/pension; New Year reservations may open on staggered schedule (check direct/phone)
Nozawa Onsen,ロッジでんべえ,1705,489ban Group (Nozawa Tourism Bureau),Not Opened / Fully Booked,0,0269-85-3838,長野県下高井郡野沢温泉村大字豊郷8284-2,https://reserve.489ban.net/group/client/nozawakanko/0/plan,Traditional onsen ryokan/pension; New Year reservations may open on staggered schedule (check direct/phone)
Nozawa Onsen,山のホテル大瀧,3154,489ban Group (Nozawa Tourism Bureau),Not Opened / Fully Booked,0,0269-85-4000,長野県下高井郡野沢温泉村豊郷7821-1,https://reserve.489ban.net/group/client/nozawakanko/0/plan,Traditional onsen ryokan/pension; New Year reservations may open on staggered schedule (check direct/phone)
Nozawa Onsen,野沢温泉,3273,489ban Group (Nozawa Tourism Bureau),Not Opened / Fully Booked,0,0269-85-3504,長野県下高井郡野沢温泉村大字豊郷8455-2,https://reserve.489ban.net/group/client/nozawakanko/0/plan,Traditional onsen ryokan/pension; New Year reservations may open on staggered schedule (check direct/phone)
